Title,Price,Description,Location
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            Available 2-bedroom self contain apartment for rent at East legon adjiringanor
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Block of Flats in Tamale, Kakpayili for Rent
    ","
        GH₵ 350
    ","
                            2 bedroom apartment for rent in tamale, kakpayili
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 6,600
    ","
                            4 bedroom newly built house for rent at east legon hills very nice also at every good location...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Weija for Rent
    ","
        GH₵ 695
    ","
                            *Ready To Move-In.* Professional family living: 2-bedroom S/C apartment, sliding glass windows, A/C...
                        ","
            Greater Accra, Weija
        "
"
        3bdrm Townhouse/Terrace in Oyarifa for Rent
    ","
        GH₵ 3,500
    ","
                            Executive 3 Bedroom House for Rent at Oyarifa Teiman
facilities includes
✓air-conditioning
✓...
                        ","
            Greater Accra, Oyarifa
        "
"
        1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            Executive standard newly built ultramodern chamber & hall self contained located in a nice serene...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment in Bestchoice Property, Accra Metropolitan
    ","
        GH₵ 11,000
    ","
                            3Bedroom fully furnished at Airport residential area air conditioning, parling space etc $1800...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 5bdrm House in Executivehousesghana for Rent
    ","
        GH₵ 24,600
    ","
                            5 bed around American house for rent ... 
We have furnished and non furnish
Non furnish is...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 500
    ","
                            Newly built chamber and hall self contained.
Located at kasoa Lamptey area
going for 500hgh accept...
                        ","
            Central Region, Awutu Senya West
        "
"
        4bdrm House in Adjiriganor for Rent
    ","
        GH₵ 14,284
    ","
                            Four bedroom house with boys quarters for rent at East legon /Adjinganor around max mart.
$1800 a...
                        ","
            Greater Accra, Adjiriganor
        "
"
        4bdrm House in , Ashaley Botwe for Rent
    ","
        GH₵ 4,000
    ","
                            Property alert now letting ultra modern 4 bedroom house at school junction gh4,000
Chat me now...
                        ","
            Greater Accra, Ashaley Botwe
        "
"
        3bdrm House in Victor Adzorlolo, Ga West Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            3befrooms, 3washrooms, self meter, water flowing, dining area, balcony, walled and gated, located at...
                        ","
            Greater Accra, Ga West Municipal
        "
"
        2bdrm Apartment in Woodland Homes And, Teshie for Rent
    ","
        GH₵ 1,000
    ","
                            Two bedroom self contain apartment in a wall and gated house.
 1 year advance payment accepted 
At...
                        ","
            Greater Accra, Teshie
        "
"
        2bdrm House in Kings Properties, Oyarifa for Rent
    ","
        GH₵ 1,500
    ","
                            Executive 2 bedroom apartment at Oyarifa Teiman.gh1500 for 1 year.contact king
                        ","
            Greater Accra, Oyarifa
        "
"
        3bdrm Apartment in Noble Professional, Teshie for Rent
    ","
        GH₵ 3,000
    ","
                            3bedroom apartments comes with self meter fitted kitchen poly tank wall gated 6 on the compound...
                        ","
            Greater Accra, Teshie
        "
"
        Executive Newly Built House For Rent At East Legon Hills
    ","
        GH₵ 2,500
    ","
                            *executive newly  built 3 bedroom house for rent at east legon hills 

*price:ghc 2,500 

**spacious...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Tamale-Sagnarigu for Rent
    ","
        GH₵ 650
    ","
                            2 bedroom apartment situated at Sagnarigu Kukuo for rent.It comes with a hall,2 bedrooms,2...
                        ","
            Northern Region, Tamale Municipal
        "
"
        5bdrm Duplex in Cantonments for Rent
    ","
        GH₵ 25,650
    ","
                            Executive 5bedrooms duplex house for rent at cantonments in a gated community, going for $4500 per...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 1,200
    ","
                            3bedroom apartment
Located at white Cross kasoa road .
going for 1200gh accept 1year rent.
Wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 1bdrm Apartment in Divine Mercy, Awutu Senya West for Rent
    ","
        GH₵ 500
    ","
                            Executive Newly built chamber and hall self contained.
Located at kasoa New market road
going for...
                        ","
            Central Region, Awutu Senya West
        "
"
        Furnished 3bdrm House in Destiny Agency, Tema Metropolitan for Rent
    ","
        GH₵ 1,300
    ","
                            3 bedroom fully-furnished athema community 25 devtraco estates .
 Price is $1300 per month 
for...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        Furnished 1bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 500
    ","
                            Executive Newly built chamber and hall self contained.
Located at kasoa lamptey area.
going for...
                        ","
            Central Region, Awutu Senya West
        "
"
        4bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 31,000
    ","
                            4 bedroom townhouse with boy’s quarters fir rent at Cantonment near UNICEF office. Spacious rooms,...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 600
    ","
                            2 bedroom apartment self compound for rent at SSNIT, Tamale.
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm House in Fear Not, Accra Metropolitan for Rent
    ","
        GH₵ 8,200
    ","
                            Executive 3bedroom house for rent at tesano going for 8500gh good location not far from tesano...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 2bdrm Duplex in East Legon for Rent
    ","
        GH₵ 10,500
    ","
                            Fully furnished 2 bedroom selfcompound for rent at east legon america house area minimum 6 months or...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment in Divine Mercy Agency, Awutu Senya West
    ","
        GH₵ 1,300
    ","
                            Executive Newly built 2Bedroom apartment
Located at kasoa
going for 1300gh accept 1year rent.
Wall...
                        ","
            Central Region, Awutu Senya West
        "
"
        4bdrm House in Agent Darko, Airport Residential Area for Rent
    ","
        GH₵ 29,750
    ","
                            Executive 4bedrooms plus 1bed boys quarters for rent on garted community around Air Port Residential...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            Executive chamber and hall apartment going for rent at East Legon Adjiriganor. Price 1500Gh
                        ","
            Greater Accra, East Legon
        "
"
        5bdrm House in Next Estate, Ga West Municipal for Rent
    ","
        GH₵ 2,000
    ","
                            5 bedroom's house for rent at ablakuma manhi tigo pool if interested please call.
                        ","
            Greater Accra, Ga West Municipal
        "
"
        Furnished 2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 23,000
    ","
                            2 bedroom furnished apartment available at East legon! All room en-suite with guest washroom .
It’s...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Helena Estate Agency, Ga East Municipal for Rent
    ","
        GH₵ 1,300
    ","
                            A beautiful three bedroom self contain apartment in kwabenya ACP area for rent there is availability...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        1bdrm Apartment in Mic Properties, Ashaley Botwe for Rent
    ","
        GH₵ 800
    ","
                            Chamber and hall s/c for rent @ Ashley Botwe
                        ","
            Greater Accra, Ashaley Botwe
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya West for Rent
    ","
        GH₵ 300
    ","
                            Chamber and hall self contained 
Located at Lamptey area kasoa
going for 300gh accept 1year...
                        ","
            Central Region, Awutu Senya West
        "
"
        4bdrm House in Living Large, East Legon for Rent
    ","
        GH₵ 8,500
    ","
                            4 BEDROOM LUXURIOUS HOUSE FOR RENT East legon Ajiriganor 
4 bedrooms is available for tent at East...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Dome for Rent
    ","
        GH₵ 1,500
    ","
                            Executive standard ultramodern newly built three bedrooms apartment located in a nice serene...
                        ","
            Greater Accra, Dome
        "
"
        Very Big Store at Fuel Station for Rent in Tamale
    ","
        GH₵ 700
    ","
                            Fuel station super market/store for rent
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 5bdrm Townhouse/Terrace in Eastlegon, Accra Metropolitan
    ","
        GH₵ 22,400
    ","
                            FOR RENT:
Newly Built 5 Bedroom Town House for rent
#Location Eastlegon 
Price-$3,500
for all...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            1 bedroom apartment for rent at Sognaayili
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm House in Oyarifa for Rent
    ","
        GH₵ 1,700
    ","
                            Executive standard four bedrooms house located in a nice residential serene environment,All bedrooms...
                        ","
            Greater Accra, Oyarifa
        "
"
        2bdrm Apartment in Ab Majesty Property, East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            2beds, 2.5baths up for rent at botwe new town near St. Peter’s school ghs1500/mnth a year...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Fear Not Estate, Airport Residential Area for Rent
    ","
        GH₵ 2,500
    ","
                            Executive 2bedroom apartment for rent tesano good location near around tesano garden
                        ","
            Greater Accra, Airport Residential Area
        "
"
        Furnished 2bdrm Apartment in Dome for Rent
    ","
        GH₵ 8,400
    ","
                            Executive standard ultramodern newly built two bedrooms furnished apartment located in a nice serene...
                        ","
            Greater Accra, Dome
        "
"
        4bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 2,000
    ","
                            Beautiful 4 bedroom house for rent at Gurugu. Water flows regularly there, closed to the roadside,...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Adjiriganor for Rent
    ","
        GH₵ 6,240
    ","
                            Two bedroom apartment: Renting 
Location: Trassaco 
Price: $800 a month for one year
                        ","
            Greater Accra, Adjiriganor
        "
"
        Furnished 2bdrm Apartment in , Adjiriganor for Rent
    ","
        GH₵ 13,000
    ","
                            Property alert now letting furnished 2 bedroom apartments at east legon adjiriganor 
$2,000/gh13,000...
                        ","
            Greater Accra, Adjiriganor
        "
"
        2bdrm Apartment in Tetegu, Ga South Municipal for Rent
    ","
        GH₵ 1,300
    ","
                            Rent this new awesome studio type 2 bedroom apartment at Tetegu going for 1 or more years.Call...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        2bdrm Apartment in Choice New Weija, Ga South Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            Rent this new executive fully air-conditioned 2 bedroom apartment at choice new weija going for 2...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        Furnished 4bdrm House in Buena Vista Estates, Accra Metropolitan
    ","
        GH₵ 18,000
    ","
                            4 Bedroom fully furnished house is renting at Buena Vista estates, Sakumono. Tenants have access to...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Apartment in Sakumono Estate, Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            Neat three bedroom apartment for rent at sakumono estate.
all rooms ensuite with a visitors...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1 Bedroom Apartment for Rent in Tamale, Choggu Yapalsi
    ","
        GH₵ 400
    ","
                            Newly built 1 bedroom apartment with kitchen, washrooms,porch
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
        GH₵ 6,400
    ","
                            Newly built 3bedrooms town houses in a gated community going for rent at a price of 800$
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 400
    ","
                            Newly built chamber and hall self contained
Located at kasoa 
going for 400gh accept 1year rent
Wall...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Executive And Newly Built 2 Bedrooms Apartment At Dzorwulu
    ","
        GH₵ 3,500
    ","
                            Executive and newly built 2 bedrooms apartment at dzorwulu around perez chapel going for GHC3,500...
                        ","
            Greater Accra, Dzorwulu
        "
"
        2 Bedroom Apartment for Rent in Tamale, Vittin Target
    ","
        GH₵ 350
    ","
                            2 bedroom apartment with 2 washrooms, kitchen,water
                        ","
            Northern Region, Tamale Municipal
        "
"
        Executive 5 Bedroom House for Rent at West Trasacco
    ","
        GH₵ 5,700
    ","
                            *executive built 5 master bedroom house to let at west trasacco 
1. executive built 4 bedroom house...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
        GH₵ 18,000
    ","
                            A stupendous fully furnished 3 bedroom apartment in a serene and friendly environment is up for rent...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        2bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 450
    ","
                            2 bedroom apartment for rent at Gurugu. water flows there 5 times a week
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 500
    ","
                            Executive Newly built chamber and hall self contained.
Located at Kasoa Nurses Quarter.
going for...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,300
    ","
                            This a good location apartment to-let at eastlegon call Green or whatapp us for more details
                        ","
            Greater Accra, East Legon
        "
"
        4bdrm House in Green, East Legon for Rent
    ","
        GH₵ 6,500
    ","
                            Good and lovely house to-let call Green for more details
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Redtop New Weija, Ga South Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            Pay and move into newly built executive 2 bedroom apartment at Redtop new weija going for 1 or more...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        2bdrm Apartment in Maxspinno Properties, East Legon for Rent
    ","
        GH₵ 2,000
    ","
                            -Executive 2 bedroom comes with Dining area
-Ultra modern P.O.P ceiling 
-Fully fitted kitchen with...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Kwabenya, Ga East Municipal for Rent
    ","
        GH₵ 1,300
    ","
                            Executive Chamber and Hall self contain for rent in Kwabenya.
*Walled and gated
*24/7...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        1bdrm Bedsitter in Millenium Property, Shama Ahanta East Metropolitan
    ","
        GH₵ 300
    ","
                            One master bedroom at Ahenkofie close to Ketan Junction. The rent is one or two years.
                        ","
            Western Region, Shama Ahanta East Metropolitan
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 600
    ","
                            Executive Newly built chamber and hall self contained.
Located at Kasoa tuba road
going for 600gh...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 500
    ","
                            Newly built chamber and Hall self contained for rent at kasoa iron city ,it pop ceiling, kitchen and...
                        ","
            Central Region, Gomoa East
        "
"
        4bdrm Townhouse in Cantonments for Rent
    ","
        GH₵ 24,000
    ","
                            An executive 4 bedroom townhouse with a garage and a family area is up for rent at cantonment for a...
                        ","
            Greater Accra, Cantonments
        "
"
        EXECUTIVE 9 BEDROOMS FOR RENTALS AT EAST LEGON A&C MALL FOR 4000 $
    ","
        GH₵ 20,000
    ","
                            EXECUTIVE 9 BEDROOMS   AND A GARDEN
#Location: EAST LEGON-A&C MALL
# RESIDENTIAL AND OFFICE...
                        ","
            Greater Accra, Agbogbloshie
        "
"
        2bdrm Apartment in Nungua - Barrier, Accra Metropolitan for Rent
    ","
        GH₵ 1,000
    ","
                            Features:
Two bedrooms
Guest washroom
Fitted kitchen
Spacious living room
Dining area
Water...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Townhouse/Terrace in East Legon for Rent
    ","
        GH₵ 17,000
    ","
                            A newly built 3 semi furnished bedroom gated community townhouse with an outhouse is up for rent &...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Beverly Hills, Accra Metropolitan for Rent
    ","
        GH₵ 1,800
    ","
                            Executive newly built three bedroom apartment for rent at Ofankor Agya herbal close to the main road...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 350
    ","
                            Newly built 1 bedroom apartment for rent at Koblimahagu/Kukuo
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Apartment in Tamale, Vittin Nkpa for Rent
    ","
        GH₵ 700
    ","
                            3 bedroom apartment with 3 washrooms,a kitchen,water, closed to the roadside
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 650
    ","
                            Executive Newly built chamber and hall self contained.
Located at Kasoa old barrier wejia
going for...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 12,400
    ","
                            Executive 4 Bedrooms House for rent at East legon 69
#Location: East legon 69
# Residential
#Status:...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Ogbojo, East Legon for Rent
    ","
        GH₵ 2,500
    ","
                            2bedrooms apartment at ogbojo newly built for rent ready to move inn .
water and electricity...
                        ","
            Greater Accra, East Legon
        "
"
        4bdrm House in Ga West Municipal for Rent
    ","
        GH₵ 1,800
    ","
                            It’s a newly built 4 bedroom house with study room going for rent. Located at Amasaman toll booth...
                        ","
            Greater Accra, Ga West Municipal
        "
"
        2bdrm Apartment in Pillar, Accra Metropolitan for Rent
    ","
        GH₵ 1,500
    ","
                            Nice area, just roadside, water flows, very big hall, every room has toilet and bath, one year...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm House in Richjewel Properties, Tamale Municipal for Rent
    ","
        GH₵ 400
    ","
                            2 bedroom house at fuo- tamale with 2 master rooms( each room has its own toilet ) plus visitors...
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Apartment in Waija, West Hills Mall Area for Rent
    ","
        GH₵ 1,000
    ","
                            4 bed room house for rent at, waija, red top , it very nice n cool ,going for 1000 cedis
                        ","
            Greater Accra, Weija
        "
"
        3bdrm House in Salam Estate, East Legon for Rent
    ","
        GH₵ 4,900
    ","
                            A newly built 3 bedroom with 2 boys quarters self-compound house at Adjiringanor around Galaxy...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Adom Agency, New Town for Rent
    ","
        GH₵ 900
    ","
                            Two bedroom apartment for rent at an affordable price
                        ","
            Greater Accra, Teshie
        "
"
        2bdrm Apartment in Ichris Agency, Ga South Municipal for Rent
    ","
        GH₵ 1,200
    ","
                            A sweet newly built 2bedrooms apartment is up for rent. locais red top behind the west hills mall....
                        ","
            Greater Accra, Ga South Municipal
        "
"
        Furnished 1bdrm Apartment in Tamale-T.Poly Nkpa for Rent
    ","
        GH₵ 700
    ","
                            1 bedroom apartment furnished for rent
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm House in Lavender Lane, Tema Metropolitan for Rent
    ","
        GH₵ 1,550
    ","
                            Newly built two bedroom apartments available for rent in Dawhenya, community 25, right behind mall ,...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        2bdrm Apartment in Penny, Teshie for Rent
    ","
        GH₵ 900
    ","
                            Comes with self meter fitted kitchen wall gated 2washroom going for 1year advance
                        ","
            Greater Accra, Teshie
        "
"
        4bdrm House in Fear Not Estate, Accra Metropolitan for Rent
    ","
        GH₵ 4,500
    ","
                            Executive 4bedroom house for rent at dome CFC estate going for 4500gh cidis negotiable good for both...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 500
    ","
                            Executive newly built chamber and hall self contained.
Located at kasoa nurses going for 500gh...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in Kasoa, Awutu Senya East Municipal for Rent
    ","
        GH₵ 1,200
    ","
                            Classic Newly built ( 2) Bedroom apartment
Located at Kasoa
going for 1200gh accept 1yr
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 600
    ","
                            Executive Newly built chamber and hall self contained.
Located at Kasoa Tuba road Kasoa.
going for...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 350
    ","
                            Chamber and hall self contained.
located at kasoa cp
going for 350gh accept 1yr.
wall and gate
self...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 2bdrm Apartment in Green, East Legon for Rent
    ","
        GH₵ 7,500
    ","
                            Lovely 2bedroom fully furnished apartment for rent at eastlegon hills the rooms will be fully...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Bungalow in Propertice Affairs, Ga South Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            2bedrooms self compound for rent at tubar
                        ","
            Greater Accra, Ga South Municipal
        "
"
        5bdrm House in Redtop Selassie, Ga South Municipal for Rent
    ","
        GH₵ 2,200
    ","
                            Rent this beautiful 5 bedroom seaview house at Redtop Selassie new weija going for 1 or more...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        1bdrm Apartment in Agbogba, North Legon for Rent
    ","
        GH₵ 700
    ","
                            Executive chamber and hall at agbogba for rent, one year or more in advance. 
agency terms...
                        ","
            Greater Accra, Agbogba
        "
"
        Furnished 3bdrm Apartment in Pantang - Adenta, Accra Metropolitan
    ","
        GH₵ 11,500
    ","
                            Not far from Pantang Junction on the Oyarifa road are these 3 bedroom apartments, fully furnished...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 4bdrm Duplex in Dr Roko, East Legon for Rent
    ","
        GH₵ 5,900
    ","
                            Decent 3-bedroom Duplex house in a mini gated community at East Legon adjiringanor , price 1000...
                        ","
            Greater Accra, East Legon
        "
"
        Executive 2 Bedrm Fully Furnished Apartment4rent at East Legon
    ","
        GH₵ 9,860
    ","
                            Executive 2 bedroom fully furnished apartment at east legon- adjiringanor around ability 
all...
                        ","
            Greater Accra, East Legon
        "
"
        Executive 4 Bedroom House to Let at East Legon
    ","
        GH₵ 4,500
    ","
                            *executive 4 bedroom house 4 rent @ east legon east legon america house 
*price:$ 800 dollars...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Fear Not, Accra Metropolitan for Rent
    ","
        GH₵ 1,500
    ","
                            Executive 2bedroom apartment for rent at atomic down going for 1500 for 2years just 2 apartment on...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 600
    ","
                            Executive newly built chamber and hall self contained.
located at kasoa tuba road kasoa.
going for...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        5bdrm House in Kukuo, Ghanasco In, Tamale Municipal for Rent
    ","
        GH₵ 1,800
    ","
                            5 bedroom house with 4 washrooms, kitchen, self compound,big compound, polytank,water, closed to the...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Let Love Lead, Pokuase for Rent
    ","
        GH₵ 1,000
    ","
                            2 bedrooms at Pokuase main road going for 1,000 ghs per month for 1 year
                        ","
            Greater Accra, Pokuase
        "
"
        Furnished 2bdrm Apartment for Rent
    ","
        GH₵ 800
    ","
                            Executive Newly built 2bedroom apartment.
Located at Kasoa Tuba road.
going for 800gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 4,000
    ","
                            3 bedroom self compound house with one bedroom boys quarters available for rent at East legon
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Fuo
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            Executive newly built 2 bedroom apartment for rent at Sognaayili, Tamale.
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm House in Datus, Awutu Senya East Municipal for Rent
    ","
        GH₵ 1,600
    ","
                            *walled house and fens wires 
regular
 water flow 
all rooms master 
spacious rooms and kitchen 
big...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in Old Ashongman, Ga East Municipal for Rent
    ","
        GH₵ 1,500
    ","
                            Executive 2 bedrooms apartments at old ashongman going for negotiable
                        ","
            Greater Accra, Ga East Municipal
        "
"
        3bdrm Apartment in Green, Adjiriganor for Rent
    ","
        GH₵ 6,000
    ","
                            This a newly built 3Bedrooms apartment with 1bq to-let at eastlegon
                        ","
            Greater Accra, Adjiriganor
        "
"
        Furnished 1bdrm Apartment in Green, East Legon for Rent
    ","
        GH₵ 9,000
    ","
                            This a furnish apartment to-let at eastlegon around the legos Avenue call or WhatsApp Green for more...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Agbleza, Teshie for Rent
    ","
        GH₵ 1,000
    ","
                            2bedroom apartments comes with self meter poly tank self kitchen parking space and more going for...
                        ","
            Greater Accra, Teshie
        "
"
        3bdrm Apartment in East Airport, Spintex for Rent
    ","
        GH₵ 6,000
    ","
                            Newly built three bedroom apartment for rent at East airport
                        ","
            Greater Accra, Spintex
        "
"
        Furnished 3bdrm House in Devtraco Estates, Tema Metropolitan for Rent
    ","
        GH₵ 1,500
    ","
                            All master bedroom plus guest washroom
#.built in wardrobe
#.kitchen cabinet 
# 24 hours security
#...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        Furnished 3bdrm Apartment in Driprotation_233, Adenta for Rent
    ","
        GH₵ 1,300
    ","
                            A 3-bedroom story building detached apartment with one big kitchen,toilet and bath each one bigger...
                        ","
            Greater Accra, Adenta
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 3,000
    ","
                            Three washroom.
walled and gated apartment.
at very good location.
pop ceiling.
kindly call Mr Sky...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Tamale-St. Charles. For Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent around st. Charles area. closed to TTH and SDA hospital.
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 500
    ","
                            Newly built chamber and hall self contained.
Located at Kasoa CP
going for 500gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 1,000
    ","
                            Executive 3bedroom apartment.
located at tuba road kasoa
going for 1000gh accept 1yrs rent
accept...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 4 Bdm House Within Townhouse 4rent in Cantoment
    ","
        GH₵ 34,800
    ","
                            Fully furnished 4 bedroom townhouse with 1 room bq
back up generator
water reservoir 
swimming pool...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in South Shiashie for rent
    ","
        GH₵ 7,041
    ","
                            An Executive 2, bedrooms apartment with 3, washrooms and a swimming pool is up for rent at Shiashie....
                        ","
            Greater Accra, South Shiashie
        "
"
        Furnished 2bdrm Apartment in Asylumdown for Rent
    ","
        GH₵ 5,600
    ","
                            A 1 n 2 bedroom furnished apartment for rent at Asylumdown 700 dollars for 1 bedroom n 900 dollars...
                        ","
            Greater Accra, Asylum Down
        "
"
        2bdrm Apartment in Ichris Agency, Ga South Municipal for Rent
    ","
        GH₵ 900
    ","
                            2bedrooms apartment 
location tetegu
walking distance to road side
900gh monthly rate 
advance 1 or...
                        ","
            Greater Accra, Ga South Municipal
        "
"
        4bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 2,500
    ","
                            Beautiful 4 bedroom house for rent at SSNIT area, Tamale
                        ","
            Northern Region, Tamale Municipal
        "
